
Pos,,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Sk,Int,All-pro teams
QB,Peyton Manning%,AFC,IND,33,11,16,16,393,571,4500,33,16,19,-13,0,0,0,0,0,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Pro Football Focus: 2nd Team All-NFL
Sporting News: 2nd Team All-NFL
QB,Drew Brees%,NFC,NOR,30,8,15,15,363,514,4388,34,11,22,33,2,1,-4,0,0,0.0,0,Associated Press: 2nd Team All-NFL
Sporting News: 1st Team All-NFL
QB,Philip Rivers%,AFC,SDG,28,5,16,16,317,486,4254,28,9,26,50,1,0,0,0,0,0.0,0,Pro Football Focus: 1st Team All-NFL
QB,Tony Romo+%,NFC,DAL,29,5,16,16,347,550,4483,26,9,35,105,1,0,0,0,2,0.0,0,
QB,Aaron Rodgers%,NFC,GNB,26,4,16,16,350,541,4434,30,7,58,316,5,0,0,0,1,0.0,0,
QB,Matt Schaub+%,AFC,HOU,28,5,16,16,396,583,4770,29,15,48,57,0,0,0,0,1,0.0,0,
QB,David Garrard+%,AFC,JAX,31,7,16,16,314,516,3597,15,10,77,323,3,0,0,0,2,0.0,0,
QB,Brett Favre%,NFC,MIN,40,18,16,16,363,531,4202,33,7,9,7,0,1,-2,0,1,0.0,0,
QB,Tom Brady%,AFC,NWE,32,9,16,16,371,565,4398,28,13,29,44,1,0,0,0,0,0.0,0,
QB,Vince Young+%,AFC,TEN,26,3,12,10,152,259,1879,10,7,55,281,2,0,0,0,2,0.0,0,
QB,Donovan McNabb+%,NFC,PHI,33,10,14,14,267,443,3553,22,10,37,140,2,1,1,0,1,0.0,0,
RB,Chris Johnson%,AFC,TEN,24,1,16,16,0,1,0,0,0,358,2006,14,50,503,2,3,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Pro Football Focus: 1st Team All-NFL
Sporting News: 1st Team All-NFL
RB,Adrian Peterson%,NFC,MIN,24,2,16,15,0,0,0,0,0,314,1383,18,43,436,0,0,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
RB,Maurice Jones-Drew%,AFC,JAX,24,3,16,16,0,0,0,0,0,312,1391,15,53,374,1,6,0.0,0,Pro Football Focus: 2nd Team All-NFL
Sporting News: 2nd Team All-NFL
RB,Steven Jackson%,NFC,STL,26,5,15,15,0,0,0,0,0,324,1416,4,51,322,0,1,0.0,0,Associated Press: 2nd Team All-NFL
Sporting News: 2nd Team All-NFL
RB,Ray Rice%,AFC,BAL,22,1,16,15,0,1,0,0,0,254,1339,7,78,702,1,3,0.0,0,Associated Press: 2nd Team All-NFL
RB,DeAngelo Williams%,NFC,CAR,26,3,13,13,0,0,0,0,0,216,1117,7,29,252,0,1,0.0,0,
RB,Frank Gore+%,NFC,SFO,26,4,14,14,0,0,0,0,0,229,1120,10,52,406,3,0,0.0,0,
FB,Leonard Weaver%,NFC,PHI,27,4,16,8,0,0,0,0,0,70,323,2,15,140,2,3,0.0,0,Associated Press: 1st Team All-NFL
FB,Le'Ron McClain%,AFC,BAL,25,2,16,14,0,0,0,0,0,46,180,2,21,141,0,0,0.0,0,Associated Press: 2nd Team All-NFL
Pro Football Focus: 2nd Team All-NFL
WR,Andre Johnson%,AFC,HOU,28,6,16,16,0,0,0,0,0,2,10,0,101,1569,9,4,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Pro Football Focus: 2nd Team All-NFL
Sporting News: 1st Team All-NFL
WR,Wes Welker%,AFC,NWE,28,5,14,13,0,0,0,0,0,5,36,0,123,1348,4,3,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
WR,Reggie Wayne%,AFC,IND,31,8,16,16,0,1,0,0,1,0,0,0,100,1264,10,5,0.0,0,Associated Press: 2nd Team All-NFL
Pro Football Focus: 1st Team All-NFL
Sporting News: 2nd Team All-NFL
WR,Larry Fitzgerald%,NFC,ARI,26,5,16,16,0,0,0,0,0,0,0,0,97,1092,13,6,0.0,0,Associated Press: 2nd Team All-NFL
Sporting News: 1st Team All-NFL
WR,Vincent Jackson+%,AFC,SDG,26,4,15,15,0,0,0,0,0,3,11,0,68,1167,9,1,0.0,0,Pro Football Focus: 1st Team All-NFL
WR,Brandon Marshall%,AFC,DEN,25,3,15,13,0,0,0,0,0,7,39,0,101,1120,10,2,0.0,0,Sporting News: 2nd Team All-NFL
WR,Sidney Rice%,NFC,MIN,23,2,16,14,0,1,0,0,0,0,0,0,83,1312,8,1,0.0,0,Pro Football Focus: 2nd Team All-NFL
WR,Roddy White+%,NFC,ATL,28,4,16,16,0,0,0,0,0,1,2,0,85,1153,11,3,0.0,0,
WR,Chad Johnson+%,AFC,CIN,31,8,16,15,0,0,0,0,0,3,32,0,72,1047,9,1,0.0,0,
WR,Miles Austin%,NFC,DAL,25,3,16,9,0,0,0,0,0,2,-2,0,81,1320,11,3,0.0,0,
WR,Steve Smith+%,NFC,NYG,24,2,16,15,0,0,0,0,0,0,0,0,107,1220,7,1,0.0,0,
TE,Dallas Clark%,AFC,IND,30,6,16,16,0,0,0,0,0,2,11,0,100,1106,10,4,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
Pro Football Focus: 2nd Team All-NFL
TE,Jason Witten%,NFC,DAL,27,6,16,16,0,0,0,0,0,0,0,0,94,1030,2,2,0.0,0,Pro Football Focus: 1st Team All-NFL
Sporting News: 2nd Team All-NFL
TE,Antonio Gates%,AFC,SDG,29,6,16,16,0,0,0,0,0,0,0,0,79,1157,8,1,0.0,0,Associated Press: 2nd Team All-NFL
TE,Heath Miller+%,AFC,PIT,27,4,16,16,0,0,0,0,0,0,0,0,76,789,6,4,0.0,0,
TE,Vernon Davis%,NFC,SFO,25,3,16,16,0,0,0,0,0,0,0,0,78,965,13,0,0.0,0,
T,Joe Thomas%,AFC,CLE,25,2,16,16,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Pro Football Focus: 1st Team All-NFL
Sporting News: 2nd Team All-NFL
T,Ryan Clady%,AFC,DEN,23,1,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,Associated Press: 1st Team All-NFL
Pro Football Writers: 1st Team All-NFL
Sporting News: 1st Team All-NFL
T,Jake Long%,AFC,MIA,24,1,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,Associated Press: 2nd Team All-NFL
Pro Football Focus: 2nd Team All-NFL
Sporting News: 1st Team All-NFL
T,Bryant McKinnie%,NFC,MIN,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
T,Jon Stinchcomb%,NFC,NOR,30,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
T,David Diehl+%,NFC,NYG,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,
T,D'Brickashaw Ferguson+%,AFC,NYJ,26,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
